tg_id,rep,fecha,nick,rango,chat_ids
819097185,2,2022-01-08T00:00:00.000Z,Kanade Maid-Chan,DESCONOCIDO,
604636308,10,2022-01-12T00:00:00.000Z,Shotz (aeleté),DESCONOCIDO,
805113831,1,2021-10-10T00:00:00.000Z,Omar,DESCONOCIDO,
316669529,-98,2021-12-28T00:00:00.000Z,sate🐢,SECUAZ DE ETECSA,
609517172,4,2021-12-03T00:00:00.000Z,Rose,DESCONOCIDO,
1211843147,24,2022-01-26T00:00:00.000Z,Geo,GRACIOSO (PERO NO TANTO),
1439483233,154,2022-01-26T00:00:00.000Z,😒Jennifer😒,FAMILIA (A LO TORETTO),
1609727878,6,2021-11-25T00:00:00.000Z,ADRII G,DESCONOCIDO,
837908082,1,2021-10-03T00:00:00.000Z,ＡＫＩＬＥＳ,DESCONOCIDO,
1961872706,2,2021-10-13T00:00:00.000Z,El de repuesto,DESCONOCIDO,
1088649580,3,2021-11-02T00:00:00.000Z,Andrey,DESCONOCIDO,
415058707,3,2021-10-03T00:00:00.000Z,¿Por qué,DESCONOCIDO,
1103486409,-1,2021-12-18T00:00:00.000Z,Naty,REGGAETONERO,
1753738778,2,2022-01-15T00:00:00.000Z,Diana,DESCONOCIDO,
816918782,26,2022-01-21T00:00:00.000Z,Seph #shotz_es_mi_aeleté,GRACIOSO (PERO NO TANTO),
1712168159,11,2021-12-24T00:00:00.000Z,My Original Bot,DESCONOCIDO,
1104333993,0,2021-09-27T00:00:00.000Z,Mikka,DESCONOCIDO,
1031952739,1,2021-10-26T00:00:00.000Z,QuotLy,DESCONOCIDO,
975325091,1,2021-10-01T00:00:00.000Z,Jon,DESCONOCIDO,
744321226,-1,2021-12-09T00:00:00.000Z,Alberto,REGGAETONERO,
825769017,13,2022-01-23T00:00:00.000Z,Lam,DESCONOCIDO,
1045632157,100,2022-01-09T00:00:00.000Z,[ACA]☆Is_me☆ (Empress of chaos) #Sujetovacunado,ESTRELLA EN ASCENSO,
1133337924,-1,2021-11-02T00:00:00.000Z,Puchu la Perra 🐾,REGGAETONERO,
919667784,-2,2021-10-30T00:00:00.000Z,Gerald,REGGAETONERO,
452249481,2,2022-01-03T00:00:00.000Z,José Antonio,DESCONOCIDO,
711652534,1,2021-11-05T00:00:00.000Z,[CB] Arteezy 🙅🏻‍♂😷,DESCONOCIDO,
672213443,4,2021-10-27T00:00:00.000Z,🎗🐛YoYo🏹²⁵⚗⁷¹⚔⁵⁰ #WelcomeHome,DESCONOCIDO,
136817688,0,2021-12-17T00:00:00.000Z,Channel,DESCONOCIDO,
961171868,1,2021-09-28T00:00:00.000Z,Alessio,DESCONOCIDO,
505725589,3,2021-09-17T00:00:00.000Z,RaspberrySwirl,DESCONOCIDO,
1568361336,2,2021-10-31T00:00:00.000Z,❑⢸ꮶꭼꮴꮠꮑ.,DESCONOCIDO,
970916960,-4,2022-01-25T00:00:00.000Z,Alberto Michel,REGGAETONERO,
633801552,41,2022-01-11T00:00:00.000Z,Ernesto,GRACIOSO (PERO NO TANTO),
320855614,38,2021-12-29T00:00:00.000Z,Brisena 😊✌️,GRACIOSO (PERO NO TANTO),
1136944163,6,2021-09-20T00:00:00.000Z,Gilian Yes It's a Coconut Tree,DESCONOCIDO,
844169270,72,2022-01-26T00:00:00.000Z,Humo,VICIOSO,
868612289,27,2022-01-19T00:00:00.000Z,Manuel,GRACIOSO (PERO NO TANTO),
1608463720,2,2021-12-18T00:00:00.000Z,[AHD] Sadiel,DESCONOCIDO,
210944655,2,2022-01-11T00:00:00.000Z,Combot,DESCONOCIDO,
674931693,2,2021-10-15T00:00:00.000Z,SHIPPERING,DESCONOCIDO,
5056242253,5,2022-01-11T00:00:00.000Z,😇EkT😈,DESCONOCIDO,
1708236314,0,2022-01-04T00:00:00.000Z,Antlite,DESCONOCIDO,
801345800,1,2021-09-24T00:00:00.000Z,דידי,DESCONOCIDO,
640926280,12,2022-01-26T00:00:00.000Z,Komeron,DESCONOCIDO,
2030367995,1,2021-10-04T00:00:00.000Z,Kalu,DESCONOCIDO,
822907108,-97,2021-12-29T00:00:00.000Z,Rosalina ⭐,SECUAZ DE ETECSA,
521102407,3,2021-12-20T00:00:00.000Z,Yoha,DESCONOCIDO,
770653234,14,2022-01-02T00:00:00.000Z,[LC]Ηφαίστος 📦⚗️⚒,DESCONOCIDO,
709211982,2,2021-11-08T00:00:00.000Z,Ily 💕🛡,DESCONOCIDO,
316099631,31,2022-01-20T00:00:00.000Z,Oso,GRACIOSO (PERO NO TANTO),
581218909,0,2021-10-15T00:00:00.000Z,Fernando,DESCONOCIDO,
865238179,18,2022-01-26T00:00:00.000Z,ToMan Fred ⛩🗼,DESCONOCIDO,
168975623,6,2021-12-11T00:00:00.000Z,𖣘꯭ Adil -,DESCONOCIDO,
676407824,5,2022-01-10T00:00:00.000Z,ANDY,DESCONOCIDO,
910225673,3,2021-11-23T00:00:00.000Z,Betzy 🦄🌈,DESCONOCIDO,
1183831150,2,2022-01-14T00:00:00.000Z,🍁IMP🍁Yusnel,DESCONOCIDO,
1220333522,1,2022-01-14T00:00:00.000Z,XxnayelisxX,DESCONOCIDO,
1034103542,0,2022-01-14T00:00:00.000Z,Angel,DESCONOCIDO,
777000,7,2022-01-21T00:00:00.000Z,Telegram,DESCONOCIDO,
738757725,2,2021-11-21T00:00:00.000Z,Carlos,DESCONOCIDO,
790799096,1,2022-01-10T00:00:00.000Z,Ruperto,DESCONOCIDO,
1087968824,2,2021-12-07T00:00:00.000Z,Group,DESCONOCIDO,
676857285,36,2022-01-21T00:00:00.000Z,desconocido,GRACIOSO (PERO NO TANTO),
997308767,14,2022-01-11T00:00:00.000Z,Marcelo,DESCONOCIDO,
1949832548,2,2022-01-24T00:00:00.000Z,Ulises,DESCONOCIDO,
746996263,3,2021-11-16T00:00:00.000Z,「Nixth」,DESCONOCIDO,
1728005969,4,2022-01-26T00:00:00.000Z,~(°0°)~,DESCONOCIDO,
1117224737,0,2022-01-04T00:00:00.000Z,Icarus,DESCONOCIDO,
706890648,-10,2022-01-21T00:00:00.000Z,✨cursed cake🍰 #yovotoshot,REGGAETONERO,
1026619744,4,2022-01-26T00:00:00.000Z,Super Mario,DESCONOCIDO,
921164464,0,2022-01-15T00:00:00.000Z,Mario,DESCONOCIDO,
1351165288,22,2022-01-19T00:00:00.000Z,Dinosaurio Gruar 🦖,GRACIOSO (PERO NO TANTO),
723377650,21,2022-01-22T00:00:00.000Z,Grety ✨,GRACIOSO (PERO NO TANTO),
844568088,54,2022-01-26T00:00:00.000Z,🌵,VICIOSO,
1033698165,58,2022-01-27T00:00:00.000Z,🤘Gilberto Lázaro🎸,VICIOSO,
903410302,72,2022-01-27T00:00:00.000Z,AshleyD,VICIOSO,
886643582,3,2022-01-27T00:00:00.000Z,Harry,DESCONOCIDO,
830410813,102,2022-01-27T00:00:00.000Z,Nabucodonozor,ESTRELLA EN ASCENSO,
771214579,72,2022-01-27T00:00:00.000Z,Él,VICIOSO,